Event_Title,Event_url,Place_name,Place_url,Location,event_date,Event_time
GONDOLA RIDES,https://www.visitindy.comhttp://www.4gondola.com/,,,,,
Nickelodeon’s Dora & Diego - Let’s Explore,https://www.visitindy.com/indianapolis-nickelodeon-s-dora-amp-diego-let-s-explore-2021-2-6,The Children's Museum of Indianapolis,https://www.visitindy.com/indianapolis-the-childrens-museum-of-indianapolis?utm_source=visitindy,,"April 17-July 11, 2021",
O'Reilly Auto Parts 500 World of Wheels presented by Ray Skillman,https://www.visitindy.com/indianapolis-world-of-wheels,Indiana State Fairgrounds and Event Center,https://www.visitindy.com/indianapolis-indiana-state-fairgrounds,"1202 E. 38th St. Indianapolis, IN 46205","April 17-18, 2021",
Fort Wayne Comets vs. Indy Fuel - Marvel Night,https://www.visitindy.com/indianapolis-fuel-041721,Indiana Farmers Coliseum,https://www.visitindy.com/indianapolis-indiana-state-fairgrounds-coliseum,,"April 17, 2021",7:05 PM
Capoeira,https://www.visitindy.com/indianapolis-capoeira,Garfield Park Conservatory and Gardens,https://www.visitindy.com/indianapolis-garfield-park,"2432 Conservatory Dr. Indianapolis, IN 46203","April 17-24, 2021",11:00 AM
Family Art Night - Family Tree,https://www.visitindy.com/indianapolis-family-art-night-family-tree,Garfield Park Conservatory and Gardens,https://www.visitindy.com/indianapolis-garfield-park,"2432 Conservatory Dr. Indianapolis, IN 46203","April 17, 2021",5:00 PM
Steve Byrne,https://www.visitindy.com/indianapolis-steve-byrne,Helium Comedy Club,https://www.visitindy.com/indianapolis-helium-comedy-club,317-349-4800,"April 17, 2021",7:30 PM
Deadline Release & Block Party,https://www.visitindy.com/indianapolis-deadline-release-block-party,Taxman Bargersville,https://www.visitindy.com/indianapolis-taxman-brewing-co,"13 S. Baldwin St. Bargersville, IN 46106-9089","April 17, 2021",12:00 PM
A Picture in Time,https://www.visitindy.com/indianapolis-a-picture-in-time,,,,"April 17, 2021",10:00 AM
Grace to Grandeur,https://www.visitindy.com/indianapolis-grace-to-grandeur,Newfields - A Place for Nature & the Arts,https://www.visitindy.com/indianapolis-newfields-a-place-for-nature-the-arts,,"April 17-18, 2021",7:30 PM
Creativity vs. COVID: Ending the Pandemic for Good,https://www.visitindy.com/indianapolis-creativity-vs-covid-ending-the-pandemic-for-good,Herron School of Art and Design,https://www.visitindy.com/indianapolis-iu-herron-school-of-art-and-design-gallery-at-iupui,"735 W. New York St. Indianapolis, IN 46202","April 17-May 9, 2021",
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
Paul S. Briggs–Cell Personae: The Impact of Incarceration on Black Lives,https://www.visitindy.com/indianapolis-paul-s-briggs-ell-personae-the-impact-of-incarceration-on-black-lives,Herron School of Art and Design,https://www.visitindy.com/indianapolis-iu-herron-school-of-art-and-design-gallery-at-iupui,"735 W. New York St. Indianapolis, IN 46202","April 17-24, 2021",
SHIFT: What Can Museums Change?,https://www.visitindy.com/indianapolis-shift-what-can-museums-change,Herron School of Art and Design,https://www.visitindy.com/indianapolis-iu-herron-school-of-art-and-design-gallery-at-iupui,"735 W. New York St. Indianapolis, IN 46202","April 17-24, 2021",
Kevin's Duck Zoom Class,https://www.visitindy.com/indianapolis-kevins-duck-zoom-class,Smoking Goose,https://www.visitindy.com/indianapolis-smoking-goose,317-638-MEAT (6328),"April 17, 2021",6:30 PM
Fareed Haque & Tony Monaco Trio,https://www.visitindy.com/indianapolis-fareed-haque-tony-monaco-trio,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,"5377 N. College Ave. Indianapolis, IN 46220","April 17, 2021",9:30 PM
DivaFest,https://www.visitindy.com/indianapolis-divafest,IndyFringe Indy Eleven Theatre,https://www.visitindy.com/indianapolis-indyfringe,"719 E. St. Clair St. Indy Eleven Theatre, Indianapolis, IN 46202-3519","April 17-25, 2021",
Bluewater Kings Band Showcase,https://www.visitindy.com/indianapolis-bluewater-kings-band-showcase,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,"5377 N. College Ave. Indianapolis, IN 46220","April 18, 2021",6:00 PM
Taste of the Indianapolis Opera,https://www.visitindy.com/indianapolis-taste-of-the-indianapolis-opera,,,317-283-3531,"April 18-27, 2021",
Indiana Pacers vs. San Antonio Spurs,https://www.visitindy.com/indianapolis-indiana-pacers-vs-san-antonio-spurs-2021-4-19,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","April 19, 2021",
Acoustic Open Mic,https://www.visitindy.com/indianapolis-acoustic-open-mic-2021-4-19,Irving Theater,https://www.visitindy.com/indianapolis-irving-theater,"5505 E. Washington St. Indianapolis, IN 46219","April 19, 2021",
Duckwall Artist Series: Matt Pivec and Open Sky,https://www.visitindy.com/indianapolis-duckwall-artist-series-matt-pivec-and-open-sky-2021-4-20,Butler Arts Center,https://www.visitindy.com/indianapolis-butler-arts-center,"4602 Sunset Avenue Indianapolis, IN","April 20, 2021",
Stoner Movie Trivia,https://www.visitindy.com/indianapolis-stoner-movie-trivia,Metazoa Brewing Co.,https://www.visitindy.com/indianapolis-metazoa-brewing-co,"140 S. College Ave. Indianapolis, IN 46202","April 20, 2021",5:45 PM
Performing Arts Connect: From Hamilton to West Side Story - Identifying Our American Experience through Song,https://www.visitindy.com/indianapolis-performing-arts-connect-from-hamilton-to-west-side-story-identifying-our-american-experience-through-song,Virtual,https://www.visitindy.com/indianapolis-virtual,317-843-3800,"April 20, 2021",7:00 PM
Rescheduled: Alicia Witt,https://www.visitindy.com/indianapolis-rescheduled-alicia-witt-2021-4-21,HI-FI,https://www.visitindy.com/indianapolis-hi-fi,"1043 Virginia Ave. Indianapolis, IN 46203","April 21, 2021",
Jennie DeVoe,https://www.visitindy.com/indianapolis-jennie-devoe,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,317-253-4900,"April 21, 2021",6:30 PM
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
Indiana Pacers vs. Oklahoma City Thunder,https://www.visitindy.com/indianapolis-indiana-pacers-vs-oklahoma-city-thunder-2021-4-21,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","April 21, 2021",
WOW Presents - Jennie DeVoe,https://www.visitindy.com/indianapolis-jennie-devoe-042121,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,317-253-4900,"April 21, 2021",6:30 PM
Nate Bargatze,https://www.visitindy.com/indianapolis-nate-bargatze,Helium Comedy Club,https://www.visitindy.com/indianapolis-helium-comedy-club,317-349-4800,"April 22-25, 2021",7:00 PM
Thursdate at The Melting Pot,https://www.visitindy.com/indianapolis-thursdate-at-the-melting-pot,,,,"April 22-29, 2021",12:00 PM
Orlando Solar Bears vs. Indy Fuel,https://www.visitindy.com/indianapolis-fuel-042321,Indiana Farmers Coliseum,https://www.visitindy.com/indianapolis-indiana-state-fairgrounds-coliseum,,"April 23-25, 2021",
Death in the Library,https://www.visitindy.com/indianapolis-death-in-the-library,,,,"April 23-30, 2021",6:00 PM
"Amanda Gardier, Josh Kaufman, Mark Buselli - Mulligan / Baker Tribute",https://www.visitindy.com/indianapolis-amanda-gardier-josh-kaufman-mark-buselli-mulligan-baker-tribute,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,"5377 N. College Ave. Indianapolis, IN 46220","April 23, 2021",9:30 PM
Hayley Paige Weekend,https://www.visitindy.com/indianapolis-hayley-paige-weekend,,,317-384-1034,"April 23, 2021",10:00 AM
Blue's Family Trivia Night,https://www.visitindy.com/indianapolis-blues-family-trivia-night,Virtual,https://www.visitindy.com/indianapolis-virtual,,"April 23, 2021",6:00 PM
Raymond James Stutz Artists Open House,https://www.visitindy.com/indianapolis-stutz-artists-open-house,Stutz Business and Arts Center,https://www.visitindy.com/indianapolis-stutz-artists-association,"212 W. 10th St. Ste. A500, Indianapolis, IN 46202","April 23-24, 2021",
Eiteljorg Museum,https://www.visitindy.comhttps://eiteljorg.org/,,,,,
Viva Il Violino,https://www.visitindy.com/indianapolis-viva-il-violino,Virtual,https://www.visitindy.com/indianapolis-virtual,317-637-4574,"April 23, 2021",6:20 PM
Bad Art Night,https://www.visitindy.com/indianapolis-bad-art-night,Garfield Park Conservatory and Gardens,https://www.visitindy.com/indianapolis-garfield-park,"2432 Conservatory Dr. Indianapolis, IN 46203","April 24, 2021",6:30 PM
Vintage Movie Night - Silent Stars on Radio,https://www.visitindy.com/indianapolis-vintage-movie-night-silent-stars-on-radio,Garfield Park Conservatory and Gardens,https://www.visitindy.com/indianapolis-garfield-park,"2432 Conservatory Dr. Indianapolis, IN 46203","April 24, 2021",7:00 PM
Pure Barre Pop-Up,https://www.visitindy.com/indianapolis-pure-barre-pop-up-2021-4-24,The Vogue,https://www.visitindy.com/indianapolis-the-vogue,"6259 N. College Ave. Indianapolis, IN 46220","April 24, 2021",
Greenhouse Opening Day,https://www.visitindy.com/indianapolis-greenhouse-opening-day,Tuttle Orchards,https://www.visitindy.com/indianapolis-tuttle-orchards,"5717 N. 300 W. Greenfield, IN 46140","April 24, 2021",
Indiana Pacers vs. Detroit Pistons,https://www.visitindy.com/indianapolis-indiana-pacers-vs-detroit-pistons-2021-4-24,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","April 24, 2021",
60th Anniversary Decorators’ Show House and Gardens Indianapolis Decorators’ Show House and Gardens The Columns on Meridian,https://www.visitindy.com/indianapolis-60th-anniversary-decorators-show-house-and-gardens-indianapolis-decorators-show-house-and-gardens-the-columns-on-meridian,,,,"April 24-May 8, 2021",11:00 AM
Sandy Lomax & Yvonne Allu  - Ella Fitzgerald Birthday Celebration,https://www.visitindy.com/indianapolis-sandy-lomax-yvonne-allu-ella-fitzgerald-birthday-celebration,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,"5377 N. College Ave. Indianapolis, IN 46220","April 24, 2021",9:30 PM
Singles meet and greet,https://www.visitindy.com/indianapolis-singles-meet-and-greet,Sun King Brewing Co.,https://www.visitindy.com/indianapolis-sun-king-brewing-co,"135 N. College Ave. Indianapolis, IN 46202","April 24, 2021",6:30 PM
Peanut Butter & Jam - Rainforest Rhythm Jam,https://www.visitindy.com/indianapolis-peanut-butter-jam-rainforest-rhythm-jam,The Studio Theater at the Center for the Performing Arts,https://www.visitindy.com/indianapolis-the-studio-theater-at-the-center-for-the-performing-arts,317-843-3800,"April 24, 2021",10:30 AM
Classic American,https://www.visitindy.com/indianapolis-classic-american,The Center for the Performing Arts,https://www.visitindy.com/indianapolis-the-center-for-the-performing-arts,"1 Carter Green Carmel, IN 46032","April 25, 2021",7:30 PM
Rob Dixon - A Love Supreme - John Coltrane Tribute,https://www.visitindy.com/indianapolis-rob-dixon-a-love-supreme-john-coltrane-tribute,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,317-253-4900,"April 25, 2021",6:30 PM
Fourth Sunday Music Co. Showcase,https://www.visitindy.com/indianapolis-fourth-sunday-music-co-showcase-at-hi-fi-annex-2021-4-25,HI-FI Annex,https://www.visitindy.com/indianapolis-hi-fi-annex,"1043 Virginia Ave. Indianapolis, IN 46203","April 25, 2021",
Jazz Jam Session,https://www.visitindy.com/indianapolis-jazz-jam-session-042621,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,317-253-4900,"April 26, 2021",6:30 PM
Eiteljorg Museum,https://www.visitindy.comhttps://eiteljorg.org/,,,,,
Clint Coley,https://www.visitindy.com/indianapolis-clint-coley,Helium Comedy Club,https://www.visitindy.com/indianapolis-helium-comedy-club,317-349-4800,"April 27, 2021",8:00 PM
